"filename", "language", "JavaScript", "CSS", "JSON with Comments", "JSON", "Markdown", "HTML", "XML", "comment", "blank", "total"
"d:\work\website\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"d:\work\website\package-lock.json", "JSON", 0, 0, 0, 18523, 0, 0, 0, 0, 1, 18524
"d:\work\website\package.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 0, 1, 55
"d:\work\website\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 10, 1, 31
"d:\work\website\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"d:\work\website\src\App.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\work\website\src\assets\images\3_line.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\work\website\src\assets\images\about\founder.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\work\website\src\assets\images\about\goal.svg", "XML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"d:\work\website\src\assets\images\about\hand-wave.svg", "XML", 0, 0, 0, 0, 0, 0, 109, 0, 0, 109
"d:\work\website\src\assets\images\about\mission.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 1, 1, 15
"d:\work\website\src\assets\images\about\quote.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"d:\work\website\src\assets\images\about\quote_down.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\work\website\src\assets\images\about\vision.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 1, 11, 24
"d:\work\website\src\assets\images\bg\fee_plan.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"d:\work\website\src\assets\images\bg\support_bg.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"d:\work\website\src\assets\images\bg\term_bg.svg", "XML", 0, 0, 0, 0, 0, 0, 29, 0, 1, 30
"d:\work\website\src\assets\images\career\battery-charge.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 1, 4, 11
"d:\work\website\src\assets\images\career\battery.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 1, 4, 11
"d:\work\website\src\assets\images\career\compensation.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\work\website\src\assets\images\career\dollar-symbol.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 1, 4, 11
"d:\work\website\src\assets\images\career\flexibility.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\work\website\src\assets\images\career\heart-add.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 1, 4, 11
"d:\work\website\src\assets\images\career\heart_well.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 1, 4, 11
